ชื่อสถานี,ที่ตั้ง,เวลา,ฝนล่าสุด (มม.)
สถานีวัดวังตะเคียน,ต.ท่าสายลวด อ.แม่สอด จ.ตาก,15:00,174.4
สถานีบ้านสวนป่า,ต.ห้วยโรง อ.ร้องกวาง จ.แพร่,14:00,153.0
สถานีบ้านโป่งเปื่อย,ต.โป่งเปือย อ.บึงกาฬ จ.บึงกาฬ,14:00,94.5
สถานีอบต.นาโส่,ต.นาโส่ อ.กุดชุม จ.ยโสธร,15:00,79.4
สถานีบ้านสร้างขุนศรี,ต.โพธิ์ใหญ่ อ.วารินชำราบ จ.อุบลราชธานี,14:00,75.5
สถานีอบต.แก้ง,ต.แก้ง อ.เดชอุดม จ.อุบลราชธานี,15:00,75.2
สถานีท่าตูม,ต.ท่าตูม อ.ท่าตูม จ.สุรินทร์,13:00,72.4
สถานีบ้านใหม่พัฒนา,ต.บ้านร้อง อ.งาว จ.ลำปาง,14:00,71.0
สถานีบ้านผู้ช่วยผู้ใหญ่บ้าน เลขที่ 22/8 หมู่ 8,ต.ฉมัน อ.มะขาม จ.จันทบุรี,14:50,70.7
สถานีหน่วยจัดการต้นน้ำและพัฒนาชุมชนในพื้นที่ป่าอนุรักษ์แม่เผอะ (อ่างขาง),ต.แม่งอน อ.ฝาง จ.เชียงใหม่,15:00,70.2
